epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,252.819,0.75682,0.76202,1.14537,0.91605,0.78472,0.85634,0.58688,1.20196,0.81007,1.47699,0.0002105,0.0002105,0.0002105
86,255.639,0.76281,0.73591,1.12238,0.7958,0.78125,0.79897,0.5408,1.2052,0.81053,1.46024,0.000198125,0.000198125,0.000198125
87,258.512,0.73513,0.71645,1.1314,0.81577,0.75801,0.85634,0.5828,1.22178,0.80558,1.47618,0.00018575,0.00018575,0.00018575
88,261.403,0.69784,0.68223,1.12157,0.82056,0.76334,0.86414,0.60127,1.2236,0.8081,1.49129,0.000173375,0.000173375,0.000173375
89,264.203,0.7107,0.70277,1.11299,0.94558,0.75895,0.8649,0.60965,1.20209,0.801,1.48059,0.000161,0.000161,0.000161
90,266.977,0.75819,0.70778,1.11815,0.90157,0.81375,0.85481,0.5926,1.21336,0.82095,1.46385,0.000148625,0.000148625,0.000148625
91,311.397,0.65654,0.74583,1.06852,0.95441,0.65227,0.83272,0.58045,1.20212,0.85817,1.4678,0.00013625,0.00013625,0.00013625
92,314.496,0.66269,0.68152,1.08731,0.95947,0.64271,0.83354,0.58546,1.20665,0.89827,1.45333,0.000123875,0.000123875,0.000123875
93,317.458,0.59418,0.62399,1.05331,0.68082,0.81854,0.83427,0.58474,1.19729,0.88459,1.44571,0.0001115,0.0001115,0.0001115
94,320.303,0.63865,0.63373,1.0665,0.72712,0.81854,0.83137,0.58006,1.18901,0.85885,1.44028,9.9125e-05,9.9125e-05,9.9125e-05
95,323.119,0.59756,0.57989,1.01836,0.86519,0.80854,0.84091,0.58398,1.22299,0.84758,1.45076,8.675e-05,8.675e-05,8.675e-05
96,325.888,0.64665,0.59953,1.06555,0.91533,0.79107,0.84755,0.58298,1.22558,0.84842,1.45484,7.4375e-05,7.4375e-05,7.4375e-05
97,328.594,0.61302,0.56774,1.02776,0.92532,0.77096,0.83712,0.58599,1.20713,0.82932,1.46359,6.2e-05,6.2e-05,6.2e-05
98,331.306,0.60374,0.57654,1.03724,0.92836,0.7713,0.84111,0.59374,1.17345,0.8197,1.45245,4.9625e-05,4.9625e-05,4.9625e-05
99,334.098,0.58709,0.57211,1.07816,0.88269,0.78089,0.84594,0.59464,1.15451,0.80799,1.44393,3.725e-05,3.725e-05,3.725e-05
100,336.859,0.58271,0.56077,1.03797,0.88496,0.77708,0.85003,0.59656,1.14874,0.80231,1.43403,2.4875e-05,2.4875e-05,2.4875e-05
